species_code,scientific_name,common_name,functional_group,climate_zone,topographic_position,elevation_niche,moisture_regime,soil_substrate,shade_tolerance,successional_stage,formatted_description
PB,Populus balsamifera,Balsam Poplar,Deciduous broadleaf hardwood tree,Boreal to subarctic climates,"River floodplains, sandbars, moist lowlands",Lowland alluvial flats and stream banks,Wet-mesic to hydric,"Rich moist alluvial silt, clay, wet sand",Intolerant,Early successional floodplain species,"Species: Populus balsamifera (Balsam Poplar). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Boreal to subarctic climates. Topography & Elevation: Found in River floodplains, sandbars, moist lowlands; Lowland alluvial flats and stream banks. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Rich moist alluvial silt, clay, wet sand. Ecological Traits: Intolerant shade tolerance; Early successional floodplain species."
PD,Populus deltoides,Eastern Cottonwood,Deciduous broadleaf hardwood tree,Temperate to Carolinian climates,"Active river sandbars, floodplains, lake shores",Lowland alluvial banks,Wet-mesic to hydric,"Deep, moist, sandy and silty alluvial soils",Very intolerant,Pioneer riparian species,"Species: Populus deltoides (Eastern Cottonwood). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Temperate to Carolinian climates. Topography & Elevation: Found in Active river sandbars, floodplains, lake shores; Lowland alluvial banks. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Deep, moist, sandy and silty alluvial soils. Ecological Traits: Very intolerant shade tolerance; Pioneer riparian species."
PX,Populus x canadensis,Carolina Poplar / Hybrid Poplar,Deciduous broadleaf hardwood tree,Temperate planted climates,"Plantations, shelterbelts, floodplain margins",Lowland to mid-elevation plains,Mesic to wet-mesic,"Rich moist fertile loams and silts",Very intolerant,Early successional fast-growing hybrid,"Species: Populus x canadensis (Carolina Poplar / Hybrid Poplar). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Temperate planted climates. Topography & Elevation: Found in Plantations, shelterbelts, floodplain margins; Lowland to mid-elevation plains. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Rich moist fertile loams and silts. Ecological Traits: Very intolerant shade tolerance; Early successional fast-growing hybrid."
PA,Populus alba,White Poplar,Deciduous broadleaf hardwood tree,Temperate introduced climates,"Disturbed roadsides, old fields, river banks",Lowland to upland flats,Dry-mesic to wet-mesic,"Adaptable sandy loams, gravelly alkaline soils",Intolerant,Pioneer introduced species,"Species: Populus alba (White Poplar). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Temperate introduced climates. Topography & Elevation: Found in Disturbed roadsides, old fields, river banks; Lowland to upland flats. Soil & Hydrology: Prefers Dry-mesic to wet-mesic moisture regimes and Adaptable sandy loams, gravelly alkaline soils. Ecological Traits: Intolerant shade tolerance; Pioneer introduced species."
BP,Populus nigra,Lombardy Poplar / Black Poplar,Deciduous broadleaf hardwood tree,Temperate introduced climates,"Urban windbreaks, field margins, roadsides",Lowland plains,Mesic,"Rich moist fertile loams",Very intolerant,Introduced ornamental species,"Species: Populus nigra (Lombardy Poplar / Black Poplar). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Temperate introduced climates. Topography & Elevation: Found in Urban windbreaks, field margins, roadsides; Lowland plains. Soil & Hydrology: Prefers Mesic moisture regimes and Rich moist fertile loams. Ecological Traits: Very intolerant shade tolerance; Introduced ornamental species."
BW,Betula papyrifera,Paper Birch,Deciduous broadleaf hardwood tree,Boreal to temperate climates,"Burned and logged uplands, rocky slopes, lake margins",Lowland flats to high mountain ridges,Dry-mesic to mesic,"Well-drained sandy loams, rocky acidic soils",Intolerant,Pioneer species,"Species: Betula papyrifera (Paper Birch). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Burned and logged uplands, rocky slopes, lake margins; Lowland flats to high mountain ridges. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Well-drained sandy loams, rocky acidic soils. Ecological Traits: Intolerant shade tolerance; Pioneer species."
BY,Betula alleghaniensis,Yellow Birch,Deciduous broadleaf hardwood tree,Great Lakes-St. Lawrence temperate climates,"Rich moist hardwood forests, cool ravines, north slopes",Mid-elevation moist uplands,Mesic to wet-mesic,"Deep, moist, rich well-drained acidic loams",Intermediate to tolerant,Late-successional species,"Species: Betula alleghaniensis (Yellow Birch). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Great Lakes-St. Lawrence temperate climates. Topography & Elevation: Found in Rich moist hardwood forests, cool ravines, north slopes; Mid-elevation moist uplands. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Deep, moist, rich well-drained acidic loams. Ecological Traits: Intermediate to tolerant shade tolerance; Late-successional species."
BT,Betula populifolia,Gray Birch,Deciduous small broadleaf tree,Cool temperate climates,"Abandoned pastures, burned sites, sterile sand plains",Lowland to upland disturbed flats,Xeric to wet-mesic,"Poor sterile sandy or gravelly acidic soils",Very intolerant,Pioneer species on poor soils,"Species: Betula populifolia (Gray Birch). Taxonomy & Functional Type: Deciduous small broadleaf tree. Climate Niche: Thrives in Cool temperate climates. Topography & Elevation: Found in Abandoned pastures, burned sites, sterile sand plains; Lowland to upland disturbed flats. Soil & Hydrology: Prefers Xeric to wet-mesic moisture regimes and Poor sterile sandy or gravelly acidic soils. Ecological Traits: Very intolerant shade tolerance; Pioneer species on poor soils."
BL,Betula lenta,Sweet Birch / Cherry Birch,Deciduous broadleaf hardwood tree,Cool humid temperate climates,"Moist mountain slopes, rocky ridges, ravines",Upland rocky slopes,Mesic,"Deep, moist, well-drained acidic loams",Intolerant to intermediate,Mid-successional species,"Species: Betula lenta (Sweet Birch / Cherry Birch). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Cool humid temperate climates. Topography & Elevation: Found in Moist mountain slopes, rocky ridges, ravines; Upland rocky slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, moist, well-drained acidic loams. Ecological Traits: Intolerant to intermediate shade tolerance; Mid-successional species."
BM,Betula nigra,River Birch,Deciduous broadleaf hardwood tree,Warm temperate to Carolinian transition climates,"Stream banks, floodplains, swamp margins",Lowland alluvial riverbanks,Wet-mesic to hydric,"Moist to wet alluvial silt and acidic sandy loams",Intolerant,Pioneer riparian species,"Species: Betula nigra (River Birch). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Warm temperate to Carolinian transition climates. Topography & Elevation: Found in Stream banks, floodplains, swamp margins; Lowland alluvial riverbanks. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Moist to wet alluvial silt and acidic sandy loams. Ecological Traits: Intolerant shade tolerance; Pioneer riparian species."
BC,Betula occidentalis,Water Birch,Deciduous small tree / shrub,Montane to boreal transition climates,"Mountain stream banks, moist canyon bottoms",Montane stream corridors,Wet-mesic to hydric,"Moist gravelly and sandy alluvial soils",Intolerant,Riparian pioneer shrub,"Species: Betula occidentalis (Water Birch). Taxonomy & Functional Type: Deciduous small tree / shrub. Climate Niche: Thrives in Montane to boreal transition climates. Topography & Elevation: Found in Mountain stream banks, moist canyon bottoms; Montane stream corridors. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Moist gravelly and sandy alluvial soils. Ecological Traits: Intolerant shade tolerance; Riparian pioneer shrub."
BUN,Betula pendula,European White Birch,Deciduous broadleaf tree,Cool temperate introduced climates,"Urban lawns, parks, disturbed woods",Lowland to upland urban sites,Dry-mesic to mesic,"Well-drained sandy to clay loams",Intolerant,Introduced ornamental pioneer,"Species: Betula pendula (European White Birch). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Cool temperate introduced climates. Topography & Elevation: Found in Urban lawns, parks, disturbed woods; Lowland to upland urban sites. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Well-drained sandy to clay loams. Ecological Traits: Intolerant shade tolerance; Introduced ornamental pioneer."
MH,Acer saccharum,Sugar Maple,Deciduous broadleaf hardwood tree,Great Lakes-St. Lawrence and Carolinian climates,"Rich upland hardwood forests, rolling hills",Mid-to-high upland slopes,Mesic,"Deep, rich, moist, fertile loams and silt loams",Very tolerant,Late-successional climax species,"Species: Acer saccharum (Sugar Maple). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Great Lakes-St. Lawrence and Carolinian climates. Topography & Elevation: Found in Rich upland hardwood forests, rolling hills; Mid-to-high upland slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, rich, moist, fertile loams and silt loams. Ecological Traits: Very tolerant shade tolerance; Late-successional climax species."
MS,Acer rubrum,Red Maple,Deciduous broadleaf hardwood tree,Boreal to Carolinian temperate climates,"Swamps, rocky ridges, upland hardwood stands",Lowland swamps to dry mountain ridges,Hydric to xeric,Adaptable from wet organic peat to dry sandy loams,Intermediate to tolerant,Mid-successional generalist species,"Species: Acer rubrum (Red Maple). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Boreal to Carolinian temperate climates. Topography & Elevation: Found in Swamps, rocky ridges, upland hardwood stands; Lowland swamps to dry mountain ridges. Soil & Hydrology: Prefers Hydric to xeric moisture regimes and Adaptable from wet organic peat to dry sandy loams. Ecological Traits: Intermediate to tolerant shade tolerance; Mid-successional generalist species."
AG,Acer saccharinum,Silver Maple,Deciduous broadleaf hardwood tree,Southern and central temperate climates,"Floodplains, river margins, swampy bottomlands",Lowland alluvial basins,Wet-mesic to hydric,"Rich alluvial silt, moist clays, heavy wet soils",Intolerant to intermediate,Early-to-mid successional floodplain species,"Species: Acer saccharinum (Silver Maple). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Southern and central temperate climates. Topography & Elevation: Found in Floodplains, river margins, swampy bottomlands; Lowland alluvial basins. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Rich alluvial silt, moist clays, heavy wet soils. Ecological Traits: Intolerant to intermediate shade tolerance; Early-to-mid successional floodplain species."
MB,Acer negundo,Manitoba Maple,Deciduous broadleaf hardwood tree,Temperate to boreal fringe climates,"Disturbed floodplains, stream banks, urban edges",Lowland stream banks,Mesic to wet-mesic,"Rich moist soils, adaptable clays and sands",Intolerant,Pioneer riparian species,"Species: Acer negundo (Manitoba Maple). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Temperate to boreal fringe climates. Topography & Elevation: Found in Disturbed floodplains, stream banks, urban edges; Lowland stream banks. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Rich moist soils, adaptable clays and sands. Ecological Traits: Intolerant shade tolerance; Pioneer riparian species."
MN,Acer platanoides,Norway Maple,Deciduous broadleaf hardwood tree,Temperate introduced invasive climates,"Urban woodlots, disturbed forests, ravine slopes",Lowland to mid-elevation woodlots,Mesic to dry-mesic,"Adaptable fertile loams, clays, sandy soils",Very tolerant,Invasive introduced shade-tolerant species,"Species: Acer platanoides (Norway Maple). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Temperate introduced invasive climates. Topography & Elevation: Found in Urban woodlots, disturbed forests, ravine slopes; Lowland to mid-elevation woodlots. Soil & Hydrology: Prefers Mesic to dry-mesic moisture regimes and Adaptable fertile loams, clays, sandy soils. Ecological Traits: Very tolerant shade tolerance; Invasive introduced shade-tolerant species."
MM,Acer spicatum,Mountain Maple,Deciduous small tree / shrub,Boreal to cool temperate climates,"Cool moist woods, rocky slopes, ravines",Moist upland slopes and understories,Mesic to wet-mesic,Damp rich rocky loams,Tolerant,Understory climax species,"Species: Acer spicatum (Mountain Maple). Taxonomy & Functional Type: Deciduous small tree / shrub. Climate Niche: Thrives in Boreal to cool temperate climates. Topography & Elevation: Found in Cool moist woods, rocky slopes, ravines; Moist upland slopes and understories. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Damp rich rocky loams. Ecological Traits: Tolerant shade tolerance; Understory climax species."
ST,Acer pensylvanicum,Striped Maple,Deciduous small tree / understory,Great Lakes-St. Lawrence temperate climates,"Cool moist hardwood forests, shaded ravines",Moist upland slopes,Mesic,Rich cool acidic well-drained loams,Very tolerant,Understory late-successional species,"Species: Acer pensylvanicum (Striped Maple). Taxonomy & Functional Type: Deciduous small tree / understory. Climate Niche: Thrives in Great Lakes-St. Lawrence temperate climates. Topography & Elevation: Found in Cool moist hardwood forests, shaded ravines; Moist upland slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Rich cool acidic well-drained loams. Ecological Traits: Very tolerant shade tolerance; Understory late-successional species."
MP,Acer pseudoplatanus,Sycamore Maple,Deciduous broadleaf tree,Temperate introduced climates,"Coastal urban areas, parks, disturbed slopes",Lowland urban slopes,Mesic,Fertile well-drained loams,Intermediate,Introduced ornamental tree,"Species: Acer pseudoplatanus (Sycamore Maple). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Temperate introduced climates. Topography & Elevation: Found in Coastal urban areas, parks, disturbed slopes; Lowland urban slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Fertile well-drained loams. Ecological Traits: Intermediate shade tolerance; Introduced ornamental tree."
OR,Quercus rubra,Northern Red Oak,Deciduous broadleaf hardwood tree,Great Lakes-St. Lawrence and Carolinian climates,"Dry to mesic upland ridges, sandy plains, slopes",Upland crests and upper slopes,Dry-mesic to mesic,"Well-drained sandy loams, gravelly acidic loams",Intermediate,Mid-to-late successional species,"Species: Quercus rubra (Northern Red Oak). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Great Lakes-St. Lawrence and Carolinian climates. Topography & Elevation: Found in Dry to mesic upland ridges, sandy plains, slopes; Upland crests and upper slopes. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Well-drained sandy loams, gravelly acidic loams. Ecological Traits: Intermediate shade tolerance; Mid-to-late successional species."
OW,Quercus alba,White Oak,Deciduous broadleaf hardwood tree,Southern Ontario and Carolinian climates,"Upland hardwood forests, well-drained slopes, dry plains",Upland plateaus and mid-slopes,Dry-mesic to mesic,"Deep well-drained loams, sandy clay loams",Intermediate,Climax species in hardwood stands,"Species: Quercus alba (White Oak). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Southern Ontario and Carolinian climates. Topography & Elevation: Found in Upland hardwood forests, well-drained slopes, dry plains; Upland plateaus and mid-slopes. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Deep well-drained loams, sandy clay loams. Ecological Traits: Intermediate shade tolerance; Climax species in hardwood stands."
OB,Quercus macrocarpa,Bur Oak,Deciduous broadleaf hardwood tree,Southern to northwestern Ontario temperate climates,"Prairie margins, dry limestone plains, moist floodplains",Lowland floodplains to dry oak savannas,Xeric to wet-mesic,"Heavy clays, alkaline soils, coarse dry sands",Intolerant to intermediate,Early-to-mid successional savanna species,"Species: Quercus macrocarpa (Bur Oak). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Southern to northwestern Ontario temperate climates. Topography & Elevation: Found in Prairie margins, dry limestone plains, moist floodplains; Lowland floodplains to dry oak savannas. Soil & Hydrology: Prefers Xeric to wet-mesic moisture regimes and Heavy clays, alkaline soils, coarse dry sands. Ecological Traits: Intolerant to intermediate shade tolerance; Early-to-mid successional savanna species."
OK,Quercus velutina,Black Oak,Deciduous broadleaf hardwood tree,Carolinian and southern Ontario climates,"Dry sandy plains, oak savannas, dry ridges",Upland sandy ridges,Xeric to dry-mesic,Coarse dry infertile sands and gravels,Intolerant,Mid-successional dry forest species,"Species: Quercus velutina (Black Oak). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Carolinian and southern Ontario climates. Topography & Elevation: Found in Dry sandy plains, oak savannas, dry ridges; Upland sandy ridges. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Coarse dry infertile sands and gravels. Ecological Traits: Intolerant shade tolerance; Mid-successional dry forest species."
OP,Quercus palustris,Pin Oak,Deciduous broadleaf hardwood tree,Carolinian warm temperate climates,"Wet clay flatwoods, river bottoms, depressions",Lowland clay basins,Wet-mesic to hydric,Heavy poorly drained acidic clay soils,Intolerant,Early-to-mid successional wet woods species,"Species: Quercus palustris (Pin Oak). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Wet clay flatwoods, river bottoms, depressions; Lowland clay basins. Soil & Hydrology: Prefers Wet-mesic to hydric moisture regimes and Heavy poorly drained acidic clay soils. Ecological Traits: Intolerant shade tolerance; Early-to-mid successional wet woods species."
OS,Quercus bicolor,Swamp White Oak,Deciduous broadleaf hardwood tree,Carolinian warm temperate climates,"Floodplains, swamp margins, wet bottomlands",Lowland alluvial flats,Hydric to wet-mesic,Poorly drained moist heavy silt and clay loams,Intermediate,Mid-to-late successional swamp species,"Species: Quercus bicolor (Swamp White Oak). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Floodplains, swamp margins, wet bottomlands; Lowland alluvial flats. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Poorly drained moist heavy silt and clay loams. Ecological Traits: Intermediate shade tolerance; Mid-to-late successional swamp species."
OC,Quercus muehlenbergii,Chinquapin Oak,Deciduous broadleaf hardwood tree,Carolinian warm temperate climates,"Dry limestone bluffs, calcareous ridges, slopes",Upland limestone ridges,Xeric to dry-mesic,"Shallow alkaline limestone soils, gravelly loams",Intolerant to intermediate,Climax on dry limestone sites,"Species: Quercus muehlenbergii (Chinquapin Oak). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Dry limestone bluffs, calcareous ridges, slopes; Upland limestone ridges. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Shallow alkaline limestone soils, gravelly loams. Ecological Traits: Intolerant to intermediate shade tolerance; Climax on dry limestone sites."
OE,Quercus ellipsoidalis,Northern Pin Oak / Hill's Oak,Deciduous broadleaf hardwood tree,Cool temperate continental climates,"Dry sand plains, oak barrens, rocky ridges",Upland sandy barrens,Xeric to dry-mesic,Sterile coarse acidic sands and gravels,Intolerant,Pioneer to mid-successional dry species,"Species: Quercus ellipsoidalis (Northern Pin Oak / Hill's Oak). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Cool temperate continental climates. Topography & Elevation: Found in Dry sand plains, oak barrens, rocky ridges; Upland sandy barrens. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Sterile coarse acidic sands and gravels. Ecological Traits: Intolerant shade tolerance; Pioneer to mid-successional dry species."
OX,Quercus coccinea,Scarlet Oak,Deciduous broadleaf hardwood tree,Carolinian warm temperate climates,"Dry sandy ridges, upland ridges",Upland dry crests,Xeric to dry-mesic,Light dry sandy acidic soils,Intolerant,Mid-successional dry forest species,"Species: Quercus coccinea (Scarlet Oak). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Dry sandy ridges, upland ridges; Upland dry crests. Soil & Hydrology: Prefers Xeric to dry-mesic moisture regimes and Light dry sandy acidic soils. Ecological Traits: Intolerant shade tolerance; Mid-successional dry forest species."
OY,Quercus montana,Chestnut Oak,Deciduous broadleaf hardwood tree,Carolinian warm temperate climates,"Dry rocky mountain ridges, sandstone bluffs",Upland rocky crests,Xeric,"Shallow, sterile, acidic rocky sandstone loams",Intermediate,Climax on rocky dry ridges,"Species: Quercus montana (Chestnut Oak). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Dry rocky mountain ridges, sandstone bluffs; Upland rocky crests. Soil & Hydrology: Prefers Xeric moisture regimes and Shallow, sterile, acidic rocky sandstone loams. Ecological Traits: Intermediate shade tolerance; Climax on rocky dry ridges."
OL,Quercus ilicifolia,Bear Oak / Scrub Oak,Deciduous shrub / small tree,Temperate dry climates,"Dry sandy barrens, rocky ridges",Upland dry barrens,Xeric,Coarse infertile dry sands,Intolerant,Pioneer fire shrub,"Species: Quercus ilicifolia (Bear Oak / Scrub Oak). Taxonomy & Functional Type: Deciduous shrub / small tree. Climate Niche: Thrives in Temperate dry climates. Topography & Elevation: Found in Dry sandy barrens, rocky ridges; Upland dry barrens. Soil & Hydrology: Prefers Xeric moisture regimes and Coarse infertile dry sands. Ecological Traits: Intolerant shade tolerance; Pioneer fire shrub."
AB,Fraxinus nigra,Black Ash,Deciduous broadleaf hardwood tree,Boreal to temperate climates,"Cold forested swamps, riverbanks, fen edges",Lowland swampy flats,Hydric to wet-mesic,"Wet organic muck, cold peat, wet rich silt",Intolerant,Climax species in wet swamps,"Species: Fraxinus nigra (Black Ash). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Boreal to temperate climates. Topography & Elevation: Found in Cold forested swamps, riverbanks, fen edges; Lowland swampy flats. Soil & Hydrology: Prefers Hydric to wet-mesic moisture regimes and Wet organic muck, cold peat, wet rich silt. Ecological Traits: Intolerant shade tolerance; Climax species in wet swamps."
AW,Fraxinus americana,White Ash,Deciduous broadleaf hardwood tree,Great Lakes-St. Lawrence and Carolinian climates,"Rich upland hardwood forests, well-drained slopes",Mid-elevation upland slopes,Mesic,"Deep, rich, moist, fertile well-drained loams",Intolerant to intermediate,Mid-to-late successional species,"Species: Fraxinus americana (White Ash). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Great Lakes-St. Lawrence and Carolinian climates. Topography & Elevation: Found in Rich upland hardwood forests, well-drained slopes; Mid-elevation upland slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Deep, rich, moist, fertile well-drained loams. Ecological Traits: Intolerant to intermediate shade tolerance; Mid-to-late successional species."
AX,Fraxinus pennsylvanica,Green Ash,Deciduous broadleaf hardwood tree,Southern and central Ontario climates,"Floodplains, stream banks, moist woods",Lowland alluvial banks,Wet-mesic to mesic,"Moist rich alluvial soils, adaptable clays",Intolerant,Early-to-mid successional riparian species,"Species: Fraxinus pennsylvanica (Green Ash). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Southern and central Ontario climates. Topography & Elevation: Found in Floodplains, stream banks, moist woods; Lowland alluvial banks. Soil & Hydrology: Prefers Wet-mesic to mesic moisture regimes and Moist rich alluvial soils, adaptable clays. Ecological Traits: Intolerant shade tolerance; Early-to-mid successional riparian species."
AH,Fraxinus quadrangulata,Blue Ash,Deciduous broadleaf hardwood tree,Carolinian warm temperate climates,"Dry limestone ridges, calcareous clay plains",Upland limestone plains,Dry-mesic to mesic,"Shallow alkaline limestone soils and heavy clay loams",Intolerant to intermediate,Mid-successional species on limestone,"Species: Fraxinus quadrangulata (Blue Ash). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Carolinian warm temperate climates. Topography & Elevation: Found in Dry limestone ridges, calcareous clay plains; Upland limestone plains. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Shallow alkaline limestone soils and heavy clay loams. Ecological Traits: Intolerant to intermediate shade tolerance; Mid-successional species on limestone."
AM,Fraxinus spp.,Ash (Unspecified),Deciduous broadleaf tree,Temperate climates,Variable lowland swamps to upland slopes,Lowland to upland,Wet-mesic to mesic,Moist loams and alluvial silts,Intolerant to intermediate,Mid-successional species,"Species: Fraxinus spp. (Ash (Unspecified)). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Temperate climates. Topography & Elevation: Found in Variable lowland swamps to upland slopes; Lowland to upland. Soil & Hydrology: Prefers Wet-mesic to mesic moisture regimes and Moist loams and alluvial silts. Ecological Traits: Intolerant to intermediate shade tolerance; Mid-successional species."
EA,Ulmus americana,American Elm,Deciduous broadleaf hardwood tree,Great Lakes-St. Lawrence and Carolinian climates,"River floodplains, rich bottomlands, moist uplands",Lowland stream banks and flats,Wet-mesic to mesic,"Deep, rich, moist alluvial silts and heavy clays",Intermediate,Mid-successional floodplain species,"Species: Ulmus americana (American Elm). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Great Lakes-St. Lawrence and Carolinian climates. Topography & Elevation: Found in River floodplains, rich bottomlands, moist uplands; Lowland stream banks and flats. Soil & Hydrology: Prefers Wet-mesic to mesic moisture regimes and Deep, rich, moist alluvial silts and heavy clays. Ecological Traits: Intermediate shade tolerance; Mid-successional floodplain species."
ER,Ulmus thomasii,Rock Elm,Deciduous broadleaf hardwood tree,Southern and eastern Ontario climates,"Rocky limestone ridges, heavy clay slopes",Upland limestone crests,Dry-mesic to mesic,"Heavy clay soils, shallow calcareous rocky loams",Intermediate,Mid-to-late successional species,"Species: Ulmus thomasii (Rock Elm). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Southern and eastern Ontario climates. Topography & Elevation: Found in Rocky limestone ridges, heavy clay slopes; Upland limestone crests. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Heavy clay soils, shallow calcareous rocky loams. Ecological Traits: Intermediate shade tolerance; Mid-to-late successional species."
ES,Ulmus rubra,Slippery Elm,Deciduous broadleaf hardwood tree,Southern Ontario climates,"Moist ravines, stream banks, rich lower slopes",Lowland terraces and lower slopes,Mesic to wet-mesic,Rich fertile well-drained moist silt loams,Intermediate,Mid-successional species,"Species: Ulmus rubra (Slippery Elm). Taxonomy & Functional Type: Deciduous broadleaf hardwood tree. Climate Niche: Thrives in Southern Ontario climates. Topography & Elevation: Found in Moist ravines, stream banks, rich lower slopes; Lowland terraces and lower slopes. Soil & Hydrology: Prefers Mesic to wet-mesic moisture regimes and Rich fertile well-drained moist silt loams. Ecological Traits: Intermediate shade tolerance; Mid-successional species."
EU,Ulmus pumila / Ulmus procera,Siberian Elm / English Elm,Deciduous broadleaf tree,Temperate introduced climates,"Disturbed roadsides, shelterbelts, urban waste sites",Lowland plains,Dry-mesic to mesic,"Poor, dry, alkaline or compacted clay soils",Intolerant,Pioneer introduced species,"Species: Ulmus pumila / Ulmus procera (Siberian Elm / English Elm). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Temperate introduced climates. Topography & Elevation: Found in Disturbed roadsides, shelterbelts, urban waste sites; Lowland plains. Soil & Hydrology: Prefers Dry-mesic to mesic moisture regimes and Poor, dry, alkaline or compacted clay soils. Ecological Traits: Intolerant shade tolerance; Pioneer introduced species."
EX,Ulmus glabra,Wych Elm,Deciduous broadleaf tree,Cool temperate introduced climates,"Moist mountain valleys, urban parks",Lowland to mid-elevation slopes,Mesic,Deep rich moist calcareous loams,Intermediate,Introduced ornamental species,"Species: Ulmus glabra (Wych Elm). Taxonomy & Functional Type: Deciduous broadleaf tree. Climate Niche: Thrives in Cool temperate introduced climates. Topography & Elevation: Found in Moist mountain valleys, urban parks; Lowland to mid-elevation slopes. Soil & Hydrology: Prefers Mesic moisture regimes and Deep rich moist calcareous loams. Ecological Traits: Intermediate shade tolerance; Introduced ornamental species."
